sku,row_type,name,brand,category,sheet,status,finding,caveat,facts_scored,copy_enriched,prose_words,bullets,spec_rows,spec_rows_informative,meta_len,has_short_desc,has_image,gallery_images,has_dimensions,model_number,status_published,import_evidence,supplier_sheet,research_file,finding_theme
IMG/FPR/00105,top,Potato Peeler 20KG P120 Sammic,SAMMIC,Food Preparation > Potato Peelers,,Complete,,,,1,132,6,16,13,142,1,1,1,1,PI-20,archived,,,robot-coupe-sammic-zummo-research.md,
IMG/FPR/00246,top,"Potato Peeler with Door, Stainless Steel 10KG",SKYMSEN,Food Preparation > Potato Peelers,,Complete,,,,1,148,6,14,12,146,1,1,0,1,DB-10,published,,SKYMSEN (16),robot-coupe-sammic-zummo-research.md;sap-reconciliation-research.md,
IMG/FPR/00046,top,Meat Slicer Ø 300MM,HK-REDLINE,Food Preparation > Meat Slicers,FOOD PREPARATION,Sources disagree,no electrical rating - needs the Kenyan-build figure,,,1,137,6,10,7,80,1,1,3,1,300ES-12,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,Electrical rating
IMG/FPR/00179,top,Meat Slicer Ø 250MM,HK-REDLINE,Food Preparation > Meat Slicers,,Complete,,,,1,112,4,8,5,87,1,1,2,1,250ES-10,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00164,top,Meat Grinder 22 Model TK -22,ASTAR,Food Preparation > Meat Mincers,FOOD PREPARATION,Sources disagree,"0.85 kW is the TD-12 row, the TK-22 is 1100 W",,,1,80,5,11,8,152,1,1,0,0,TK-22,published,,,astar-research.md,Electrical rating
IMG/FPR/00178,top,Meat Grinder 42 Model TC-42,ASTAR,Food Preparation > Meat Mincers,,Complete,,,,1,76,5,12,9,115,1,1,0,1,TC-42,published,,,astar-research.md,
IMG/FPR/00181,top,Meatball Making Machine,ASTAR,Food Preparation > Meat Ball Machines,FOOD PREPARATION,Sources disagree,"dimensions shared with 00180, one of the two is wrong",,,1,86,5,8,5,152,1,1,0,1,SXW-280,published,,,astar-research.md;sap-reconciliation-research.md,Dimensions
IMG/FPR/00215,top,Meat Slicer 300,SKYMSEN,Food Preparation > Meat Slicers,,Complete,,,,1,111,6,14,11,144,1,1,0,1,CFI-300L-N,published,,SKYMSEN (16),skymsen-research.md,
IMG/FPR/00251,top,Meat Mincer TC-22,HK-REDLINE,Food Preparation > Meat Mincers,,Complete,,,,1,89,4,8,5,87,1,1,0,1,TC-22,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00252,top,Meat Mincer JT32,HK-REDLINE,Food Preparation > Meat Mincers,,Complete,,,,1,99,5,6,3,138,1,1,0,1,JT32,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00253,top,Bone Sawer JG210,HK-REDLINE,Food Preparation > Bone Saws,FOOD PREPARATION,Sources disagree,cutting 4-180 mm / table 195x220 vs our 5-155 / 500x380,,,1,69,3,6,3,76,1,1,1,1,JG210,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,Dimensions
IMG/FPR/00254,top,Bone Sawer JG310,HK-REDLINE,Food Preparation > Bone Saws,FOOD PREPARATION,Sources disagree,bench and cutting figures disagree with the maker,,,1,132,6,14,11,77,1,1,0,1,JG310,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,Other spec value
IMG/FPR/00255,top,Bone Sawer HLS-2400,HK-REDLINE,Food Preparation > Bone Saws,,Complete,,,,1,93,6,3,0,71,1,1,0,0,HLS-2400,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00906,top,Bone Saw Blade 1650MM,SHEFFIELD,Food Preparation > Bone Saws,FOOD PREPARATION,No supplier data,no source located - no description and no specification table,,,0,0,0,0,0,0,1,0,0,0,,archived,,,sap-reconciliation-research.md,Nothing published
IMG/FPR/00051,top,Bone Saw Free Standing SI-282HD,SKYMSEN,Food Preparation > Bone Saws,,Complete,,,,1,94,6,14,12,148,1,1,7,1,SI-282HD,published,,SKYMSEN (16),sap-reconciliation-research.md;skymsen-research.md,
IMG/FPR/00184,top,Manual Hamburger Press 130,ASTAR,Food Preparation > Hamburger Press Machines,,Complete,,,,1,52,6,8,5,159,1,1,0,1,130,published,,,astar-research.md,
IMG/FPR/00180,top,Electric Sausage Stuffer,ASTAR,Food Preparation > Sausage Stuffers,FOOD PREPARATION,Sources disagree,"dimensions shared with 00181, one of the two is wrong",,,1,68,5,11,8,122,1,1,0,1,TB-10L,published,,,astar-research.md;sap-reconciliation-research.md,Dimensions
IMG/HOT/00196,top,Tumble Marinator,ASTAR,Food Preparation > Marinators,,Complete,,,,1,79,4,5,2,152,1,1,0,1,BC-135L,published,,,astar-research.md,
IMG/FPR/00231,top,Vacuum Packing Machine DZ300,OEM SHEFFIELD,Food Preparation > Vacuum Packers,FOOD PREPARATION,Sources disagree,ultimate vacuum figure is not credible as stated,,,1,150,5,10,7,149,1,1,0,1,DZ300,published,,"GUANGZHOU (8), HY (2), KASSIDYxx (2), ELABORATEXxx (2)",oem-sheffield-research.md,Other spec value
IMG/FPR/00232,top,Vacuum Packing Machine DZ400,OEM SHEFFIELD,Food Preparation > Vacuum Packers,FOOD PREPARATION,Sources disagree,"stored dimensions are the vacuum chamber, not the machine",,,1,151,5,12,9,150,1,1,0,1,DZ400,published,,"GUANGZHOU (8), HY (2), KASSIDYxx (2), ELABORATEXxx (2)",oem-sheffield-research.md,Dimensions
IMG/FPR/00012,top,Chopping Board Blue,HK-REDLINE,Food Preparation > Chopping Boards & Blocks,FOOD PREPARATION,Complete,,thin listing,3,1,13,3,5,3,71,1,1,0,1,N/A,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00014,top,Chopping Board White,HK-REDLINE,Food Preparation > Chopping Boards & Blocks,FOOD PREPARATION,Complete,,thin listing,3,1,13,3,5,3,72,1,1,0,1,N/A,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00015,top,Chopping Board Yellow,HK-REDLINE,Food Preparation > Chopping Boards & Blocks,FOOD PREPARATION,Complete,,thin listing,3,1,13,3,5,3,73,1,1,0,1,N/A,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00080,top,Chopping Board Green,SHEFFIELD,Food Preparation > Chopping Boards & Blocks,FOOD PREPARATION,Our records only,no external source published - written from our own records,,,1,0,0,0,0,0,1,1,0,1,GREEN,published,,,,Other spec value
IMG/FPR/00277,top,Chopping Block 600X600X100,H-KITCHEN,Food Preparation > Chopping Boards & Blocks,FOOD PREPARATION,Complete,,thin listing,1,1,15,1,4,1,90,1,1,0,1,PB606010,published,,"H KITCHEN (2), BRAVO (1)",h-kitchen-research.md;sap-reconciliation-research.md,
IMG/FPR/00081,top,Chopping Board Red,HK-REDLINE,Food Preparation > Chopping Boards & Blocks,FOOD PREPARATION,Complete,,thin listing,3,1,12,3,5,3,66,1,1,0,1,RED,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
FAB/DIS/00007,top,Meat Display Counter 1500,SHEFFIELD,Displays > Meat Displays,DISPLAYS,Our records only,no external source published - written from our own records,,,1,120,4,13,10,126,1,1,0,1,MD1500,published,,,,Other spec value
FAB/DIS/00010,top,Meat Display Counter 2000,SHEFFIELD,Displays > Meat Displays,DISPLAYS,Our records only,no external source published - written from our own records,,,1,120,4,13,10,126,1,1,0,1,MD2000,published,,,,Other spec value
IMG/FPR/00022,top,Blender Bar 1.25 Litres Santos 33E,SANTOS,Juice Processors > Blenders,,Complete,,,,1,120,5,9,6,145,1,1,8,1,33EA,published,,SANTOS (3),santos-research.md,
IMG/FPR/00023,top,Blender Kitchen 2+4 Litres Santos 37A,SANTOS,Juice Processors > Blenders,,Complete,,,,1,103,5,10,7,157,1,1,10,1,37-A,published,,SANTOS (3),santos-research.md,
IMG/FPR/00034,top,Blender Kitchen SS,SKYMSEN,Juice Processors > Blenders,,Complete,,,,1,144,6,10,9,127,1,1,5,0,,published,,SKYMSEN (16),skymsen-research.md;variant-children-gap-research.md,
IMG/FPR/00033,variant,Blender Kitchen SS [3-litres],SKYMSEN,Juice Processors > Blenders,,Complete,,,,0,0,0,0,0,0,0,1,,1,LAR-03MB-N,published,,SKYMSEN (16),skymsen-research.md;variant-children-gap-research.md,
IMG/FPR/00034,variant,Blender Kitchen SS [4-litres],SKYMSEN,Juice Processors > Blenders,,Complete,,,,0,0,0,0,0,0,0,1,,1,LAR-04MB-N,published,,SKYMSEN (16),skymsen-research.md;variant-children-gap-research.md,
IMG/FPR/00036,variant,Blender Kitchen SS [8-litres],SKYMSEN,Juice Processors > Blenders,,Complete,,,,0,0,0,0,0,0,0,1,,1,LAR-08MB-N,published,,SKYMSEN (16),skymsen-research.md;variant-children-gap-research.md,
IMG/FPR/00037,variant,Blender Kitchen SS [10-litres],SKYMSEN,Juice Processors > Blenders,,Complete,,,,0,0,0,0,0,0,0,1,,1,LAR-10MB-N,published,,SKYMSEN (16),skymsen-research.md;variant-children-gap-research.md,
IMG/FPR/00038,top,Blender Kitchen 25 Litres SS,SKYMSEN,Juice Processors > Blenders,JUICE PROCESSORS,Sources disagree,model number: workbook LAR 25MB vs record LAR-25LMB,,,1,117,6,13,11,125,1,1,0,1,LAR-25LMB,published,SKYMSEN / Skymsen `LAR-25-LMB (exact),SKYMSEN (16),skymsen-research.md,Model code / identity
IMG/FPR/00093,top,Brushless Commercial Blender,SHEFFIELD,Juice Processors > Blenders,JUICE PROCESSORS,Our records only,no external source published - written from our own records,,,0,0,10,0,0,0,1,1,0,1,SHG902,published,,,oem-placeholder-brands-research.md,Other spec value
IMS/MEC/01890,top,Complete Jug Set for Brushless Blender,NINGBO,Juice Processors > Blenders,JUICE PROCESSORS,No supplier data,no source located - no description and no specification table,,,0,0,0,0,0,0,1,0,0,0,-,archived,,,oem-placeholder-brands-research.md,Nothing published
IMG/FPR/00169,top,Blender Bar 2 Litres Skymsen,SKYMSEN,Juice Processors > Blenders,,Complete,,,,1,136,6,14,12,141,1,1,2,1,BM2,published,,SKYMSEN (16),skymsen-research.md,
IMG/FPR/00217,top,Hand Immersion Blender 350W H-Kitchen,H-KITCHEN,Juice Processors > Blenders,JUICE PROCESSORS,Complete,,thin listing,3,1,17,3,3,0,86,1,1,0,0,IB350CV,published,,"H KITCHEN (2), BRAVO (1)",h-kitchen-research.md,
IMG/FPR/00218,top,Hand Immersion Blender 500W H-Kitchen,HK-REDLINE,Juice Processors > Blenders,,Complete,,,,1,128,5,9,6,94,1,1,1,0,IB500LV,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00219,top,Immersion Blender Tube 250 Mm,,Juice Processors > Blenders,JUICE PROCESSORS,No supplier data,no source located - no description and no specification table,,,0,0,0,0,0,0,1,0,0,0,BLD250,draft,,,,Nothing published
IMG/FPR/00220,top,Immersion Blender Tube 300 Mm,H-KITCHEN,Juice Processors > Blenders,,Complete,,,,1,116,5,8,5,130,1,1,0,0,BLD300,published,,"H KITCHEN (2), BRAVO (1)",h-kitchen-research.md,
IMG/FPR/00221,top,Immersion Blender Tube 400 Mm,H-KITCHEN,Juice Processors > Blenders,,Complete,,,,1,110,5,6,3,129,1,1,0,0,BLD400,published,,"H KITCHEN (2), BRAVO (1)",h-kitchen-research.md,
IMG/FPR/00222,top,Whisk Attachment for Immersion Blender 250MM,HK-REDLINE,Juice Processors > Blenders,,Complete,,,,1,107,4,7,4,103,1,1,1,0,WIK250,archived,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00227,top,Immersion Blender CMP 400 VV,ROBOT COUPE,Juice Processors > Blenders,,Complete,,,,1,135,6,15,13,127,1,1,3,1,CMP 400 V.V,published,,"ROBOT COUPE (1), FOOD PROCESSORS (1)",robot-coupe-research.md;robot-coupe-sammic-zummo-research.md,
IMG/FPR/00228,top,Immersion Blender CMP 300 VV,ROBOT COUPE,Juice Processors > Blenders,JUICE PROCESSORS,Sources disagree,"dimensions identical to the CMP 400 row, contaminated",,,1,142,6,15,13,127,1,1,3,1,CMP 300 V.V,published,,"ROBOT COUPE (1), FOOD PROCESSORS (1)",robot-coupe-research.md;robot-coupe-sammic-zummo-research.md,Dimensions
IMG/FPR/00274,top,Kitchen Blender with Soundproof Cover,H-KITCHEN,Juice Processors > Blenders,JUICE PROCESSORS,Complete,,thin listing,3,1,18,2,4,1,109,1,1,3,1,8002,published,,"H KITCHEN (2), BRAVO (1)",h-kitchen-research.md,
IMG/BUF/00043,top,Juice Dispenser Clear Jug,OEM SHEFFIELD,Beverage Machines > Juice Dispensers,,Complete,,,,1,25,4,5,2,124,1,1,0,1,HY-605-1,published,,"GUANGZHOU (8), HY (2), KASSIDYxx (2), ELABORATEXxx (2)",oem-placeholder-brands-research.md;oem-sheffield-research.md,
IMG/BUF/00092,top,Juice Dispenser 1 Bowl - Capacity: 10 Litres,KITCHENWARE,Beverage Machines > Juice Dispensers,,Complete,,,,1,112,5,11,8,148,1,1,1,0,SJD10A,published,,WANHUI (4),kitchenware-research.md,
IMG/BUF/00129,top,Juice Dispenser 3 Tank LSP-18X3,HK-REDLINE,Beverage Machines > Juice Dispensers,,Complete,,,,1,57,5,8,5,117,1,1,0,1,LSP-18X3,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/BUF/00130,top,Juice Dispenser 2 Tank LSP-18X2,HK-REDLINE,Beverage Machines > Juice Dispensers,,Complete,,,,1,57,5,8,5,117,1,1,0,1,LSP-18X2,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/BUF/00131,top,Juice Dispenser 1 Tank 34-1A Santos,SANTOS,Beverage Machines > Juice Dispensers,,Complete,,,,1,76,4,8,5,135,1,1,2,1,34-1A,published,,SANTOS (3),santos-research.md,
IMG/BUF/00151,top,Juice Dispenser 2 Tank 34-2A Santos,SANTOS,Beverage Machines > Juice Dispensers,,Complete,,,,1,78,4,4,1,133,1,1,1,0,34-2A,draft,,SANTOS (3),santos-research.md,
IMG/BUF/00152,top,Juice Dispenser 3 Tank 34-3A Santos,SANTOS,Beverage Machines > Juice Dispensers,,Complete,,,,1,78,4,4,1,135,1,1,1,0,34-3A,draft,,SANTOS (3),santos-research.md,
IMG/FPR/00021,top,Citrus Juicer Santos 10A,SANTOS,Juice Processors > Citrus & Orange Juicers,,Complete,,,,1,87,5,10,7,143,1,1,5,1,10A,published,,SANTOS (3),santos-research.md,
IMG/FPR/00027,top,Juice Extractor Centrifugal Santos 68,SANTOS,Juice Processors > Juice Extractors,,Complete,,,,1,126,6,13,10,148,1,1,3,1,68JA,published,,SANTOS (3),santos-research.md,
IMG/FPR/00032,top,Citrus Juicer Santos 70A,SANTOS,Juice Processors > Citrus & Orange Juicers,,Complete,,,,1,77,5,9,6,145,1,1,2,1,70A,published,,SANTOS (3),santos-research.md,
IMG/FPR/00040,top,Juice Extractor Centrifugal Skymsen CSE,SKYMSEN,Juice Processors > Juice Extractors,,Complete,,,,1,125,6,12,9,159,1,1,9,1,CSE,published,,SKYMSEN (16),skymsen-research.md,
IMG/FPR/00079,top,Orange Juicer Z06A-N,ZUMMO,Juice Processors > Citrus & Orange Juicers,JUICE PROCESSORS,Complete,,thin listing,11,0,0,11,0,0,0,1,1,0,1,Z06A-N,published,,,robot-coupe-sammic-zummo-research.md;zummo-research.md,
IMG/FPR/00123,top,Automatic Orange Juicer Cancan 38,CANCAN,Juice Processors > Citrus & Orange Juicers,,Complete,,,,1,121,6,13,10,114,1,1,7,1,CANCAN 38,published,,,cancan-research.md;systematic-kayalar-research.md,
IMG/FPR/00140,top,Automatic Orange Juicer Systematic JSJC-12,SYSTEMATIC,Juice Processors > Citrus & Orange Juicers,JUICE PROCESSORS,Complete,,thin listing,6,0,16,6,0,0,0,1,1,0,1,JSJC-12,published,,,systematic-kayalar-research.md,
IMG/FPR/00174,top,Juice Extractor Santos 50A,SANTOS,Juice Processors > Juice Extractors,,Complete,,,,1,105,6,8,5,146,1,1,2,1,50A,published,,SANTOS (3),santos-research.md,
IMG/FPR/00214,top,Juice Extractor ESB Super N,SKYMSEN,Juice Processors > Juice Extractors,,Complete,,,,1,139,6,14,11,159,1,1,0,1,ESB SUPER-N,published,,SKYMSEN (16),skymsen-research.md,
IMG/FPR/00229,top,Cold Press Juicer Nutrisantos 65,SANTOS,Juice Processors > Juice Extractors,,Complete,,,,1,118,5,11,8,144,1,1,2,1,65A,published,,SANTOS (3),santos-research.md,
IMG/FPR/00230,top,Classic Citrus Juicer 11,SANTOS,Juice Processors > Citrus & Orange Juicers,,Complete,,,,1,76,5,9,6,146,1,1,12,1,11A,published,,SANTOS (3),santos-research.md,
IMG/FPR/00257,top,Juice Extractor WF-B3000,HK-REDLINE,Juice Processors > Juice Extractors,,Complete,,,,1,92,5,11,8,76,1,1,0,0,WF-B3000,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/FPR/00139,top,Sugarcane Juicing Machine Systematic,SYSTEMATIC,Juice Processors > Sugarcane Juicers,JUICE PROCESSORS,Complete,,thin listing,6,0,0,6,0,0,0,1,1,0,1,JSESCJ-300,published,,,systematic-kayalar-research.md,
IMG/ICE/00019,top,Milk Shake Mixer Single Skymsen,SKYMSEN,Juice Processors > Milk Shake Mixers,,Complete,,,,1,146,6,13,10,158,1,1,1,1,BMS-N,published,,SKYMSEN (16),skymsen-research.md,
IMG/ICE/00020,top,Milk Shake Mixer Triple Skymsen,SKYMSEN,Juice Processors > Milk Shake Mixers,,Complete,,,,1,138,6,13,10,115,1,1,9,1,BMS-3-N,published,,SKYMSEN (16),skymsen-research.md,
IMG/ICE/00021,top,Milk Shake Mixer Single Waring,WARING,Juice Processors > Milk Shake Mixers,,Complete,,,,1,107,6,10,7,151,1,1,3,1,WDM120K,published,,WARING (2),tefcold-waring-research.md;waring-research.md,
IMG/ICE/00040,top,Milk Shaker Double BL-018,HK-REDLINE,Juice Processors > Milk Shake Mixers,,Complete,,,,1,114,5,12,9,128,1,1,0,1,BL-018,published,,"H KITCHEN (43), KASSIDYxx (2)",hk-redline-research.md,
IMG/REF/00032,top,Upright Glass Door Chiller Single 7008 Blueline,SHEFFIELD BLUELINE,Refrigeration > Upright Chillers,,Complete,,,,1,49,10,11,8,154,1,1,0,1,GN650TNG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00034,top,Counter Chiller 9007 Blueline,SHEFFIELD BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,46,8,11,8,135,1,1,0,1,GN1100TN,published,,BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,
IMG/REF/00036,top,Counter Chiller 1407 Blueline,SHEFFIELD BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,46,8,11,8,137,1,1,0,1,GN2100TN,published,,BLUELINE (23),sap-reconciliation-research.md;sheffield-blueline-research.md,
IMG/REF/00037,top,Counter Chiller 1807 Blueline,SHEFFIELD BLUELINE,Refrigeration > Counter Chillers,,Complete,,,,1,46,8,11,8,136,1,1,0,1,GN3100TN,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00041,top,Barline Chiller 2207 Blueline,SHEFFIELD BLUELINE,Refrigeration > Barline Chillers,,Complete,,,,1,46,8,11,8,137,1,1,0,1,GN4100TNG,published,,BLUELINE (23),sheffield-blueline-research.md,
IMG/REF/00042,top,Upright Solid Door Dual Chiller Freezer 2 Door Blueline,SHEFFIELD BLUELINE,Refrigeration > Upright Chillers,,Complete,,,,1,52,4,11,8,136,1,1,0,1,GN1200BTV,published,,BLUELINE (23),sheffield-blueline-research.md,
